iterations,slope,intercept
124000,762.5126657464796,216682.67858584112
124500,760.5871423999622,216805.25994793035
125000,758.6859059557398,216926.2951737083
125500,756.8086500796293,217045.80376481413
126000,754.9550723012828,217163.80497691003
126500,753.1248739654615,217280.31782278343
127000,751.3177601838973,217395.36107541135
127500,749.5334397877895,217508.9532709846
128000,747.7716252808965,217621.11271189406
128500,746.0320327932106,217731.85746967976
129000,744.3143820352203,217841.2053879425
129500,742.618396252735,217949.17408522006
130000,740.9438021823089,218055.7809578247
130500,739.2903300072111,218161.04318264616
131000,737.6577133139486,218264.97771991973
131500,736.0456890493242,218367.60131595974
132000,734.4539974780884,218468.9305058555
132500,732.8823821410559,218568.9816161379
133000,731.3305898138088,218667.77076740816
133500,729.7983704658798,218765.31387693647
134000,728.2854772204738,218861.62666122592
134500,726.7916663146748,218956.72463854612
135000,725.3166970602117,219050.62313143056
135500,723.8603318046203,219143.3372691494
136000,722.4223358929974,219234.88199014397
136500,721.0024776301702,219325.27204443532
137000,719.600528243375,219414.52199600008
137500,718.2162618453865,219502.6462251177
138000,716.84945539813,219589.65893068686
138500,715.499888676736,219675.57413251392
139000,714.1673442340726,219760.4056735708
139500,712.8516073656979,219844.16722222618
140000,711.5524660752551,219926.8722744484
140500,710.269711040348,220008.53415597798
141000,709.0031355787801,220089.1660244768
141500,707.7525356152756,220168.7808716467
142000,706.517709648579,220247.39152532414
142500,705.2984587190041,220325.01065154566
143000,704.0945863763803,220401.65075658893
143500,702.905898648373,220477.32418898924
144000,701.7322040092663,220552.04314152687
144500,700.5733133490753,220625.8196531935
145000,699.4290399430903,220698.665611131
145500,698.2991994217903,220770.5927525469
146000,697.1836097411206,220841.61266660638
146500,696.0820911531893,220911.7367962979
147000,694.9944661772848,220980.97644027823
147500,693.9205595712831,221049.34275469265
148000,692.860198303416,221116.8467549723
148500,691.8132115243975,221183.4993176086
149000,690.779430539865,221249.31118190783
149500,689.7586887832513,221314.29295171777
150000,688.750821788892,221378.45509714007
150500,687.7556671655644,221441.80795621476
151000,686.7730645703239,221504.36173658562
151500,685.8028556826234,221566.126517148
152000,684.8448841788565,221627.1122496694
152500,683.8989957071389,221687.32876039483
153000,682.9650378624599,221746.78575162878
153500,682.0428601621076,221805.49280329968
154000,681.132314021425,221863.4593745032
154500,680.2332527298828,221920.69480502565
155000,679.345531427434,221977.20831684914
155500,678.4690070811743,222033.00901563745
156000,677.6035384622746,222088.1058922046
156500,676.7489861232691,222142.50782396056
157000,675.9052123755525,222196.2235763441
157500,675.072081267197,222249.26180423467
158000,674.2494585610738,222301.63105334528
158500,673.4372117131958,222353.3397616015
159000,672.6352098513712,222404.3962605
159500,671.8433237541226,222454.80877645095
160000,671.061425829869,222504.5854321031
160500,670.289390096336,222553.73424765456
161000,669.5270921603001,222602.26314214244
161500,668.7744091975311,222650.17993471964
162000,668.031219932981,222697.492345916
162500,667.2974046212821,222744.20799887998
163000,666.5728450274175,222790.3344206091
163500,665.8574244076873,222835.87904316167
164000,665.1510274909051,222880.84920485376
164500,664.4535404598081,222925.2521514428
165000,663.7648509327302,222969.09503729438
165500,663.0848479454816,223012.38492653536
166000,662.4134219335012,223055.12879419062
166500,661.7504647141632,223097.3335273092
167000,661.095869469375,223139.00592607204
167500,660.4495307283488,223180.152704889
168000,659.8113443506153,223220.78049348004
168500,659.1812075092528,223260.89583794287
169000,658.5590186742961,223300.50520180943
169500,657.9446775964029,223339.61496708528
170000,657.3380852906892,223378.2314352791
170500,656.7391440207749,223416.36082841802
171000,656.1477572830496,223454.0092900495
171500,655.5638297911192,223491.18288623134
172000,654.9872674604363,223527.88760651028
172500,654.4179773931767,223564.12936488457
173000,653.8558678632336,223599.91400075948
173500,653.3008483014548,223635.24727988697
174000,652.7528292810607,223670.13489529406
174500,652.2117225032156,223704.58246820144
175000,651.6774407828084,223738.59554892848
175500,651.1498980344181,223772.17961778693
176000,650.6290092584218,223805.34008596514
176500,650.1146905273049,223838.0822963997
177000,649.606858972153,223870.41152463522
177500,649.1054327692824,223902.33297967562
178000,648.6103311270665,223933.85180482268
178500,648.1214742729146,223964.97307850496
179000,647.6387834404171,223995.70181509628
179500,647.16218085666,224026.04296572309
180000,646.6915897296927,224056.0014190626
180500,646.2269342361388,224085.58200213115
181000,645.7681395090099,224114.7894810602
181500,645.3151316256144,224143.62856186606
182000,644.86783759566,224172.10389120723
182500,644.4261853494971,224200.2200571329
183000,643.9901037264904,224227.98158982318
183500,643.5595224635736,224255.39296231777
184000,643.1343721839199,224282.4585912372
184500,642.7145843857572,224309.1828374949
185000,642.3000914313358,224335.57000699936
185500,641.8908265360302,224361.62435134817
186000,641.4867237575813,224387.35006851275
186500,641.087717985468,224412.75130351496
187000,640.693744930425,224437.8321490944
187500,640.3047411140623,224462.59664636935
188000,639.9206438586546,224487.0487854866
188500,639.541391277051,224511.19250626408
189000,639.1669222626815,224535.03169882682
189500,638.7971764797372,224558.57020423212
190000,638.4320943534146,224581.8118150908
190500,638.0716170603371,224604.76027617676
191000,637.7156865190948,224627.41928502938
191500,637.3642453808474,224649.7924925516
